count,nisin,day,temperature,ph,strain,inoculum,milk_batch,milk_age,milk_apc,cheese_make,cheese_plate,rep
101800000,Y,14,6,6.5,5624,43900000,13-Jan-17,10,0,2-Jan-17,f,2
321000000,Y,14,6,6.5,5625,33700000,13-Jan-17,10,0,2-Jan-17,f,2
224000000,N,1,6,6.5,10403S,6630000,20-Jan-17,10,0,9-Jan-17,a,3
229500000,N,1,6,6.5,5621,13000000,20-Jan-17,10,0,9-Jan-17,a,3
462000000,N,1,6,6.5,5623,14600000,20-Jan-17,10,0,9-Jan-17,a,3
374000000,N,1,6,6.5,5624,15100000,20-Jan-17,10,0,9-Jan-17,a,3
391000000,N,1,6,6.5,5625,11700000,20-Jan-17,10,0,9-Jan-17,a,3
5550000,Y,1,6,6.5,10403S,6630000,20-Jan-17,10,0,9-Jan-17,b,3
5220000,Y,1,6,6.5,5621,13000000,20-Jan-17,10,0,9-Jan-17,b,3
13140000,Y,1,6,6.5,5623,14600000,20-Jan-17,10,0,9-Jan-17,b,3
2930000,Y,1,6,6.5,5624,15100000,20-Jan-17,10,0,9-Jan-17,b,3
14400000,Y,1,6,6.5,5625,11700000,20-Jan-17,10,0,9-Jan-17,b,3
1157500000,N,7,6,6.5,10403S,6630000,20-Jan-17,10,0,9-Jan-17,c,3
1129000000,N,7,6,6.5,5621,13000000,20-Jan-17,10,0,9-Jan-17,c,3
1730000000,N,7,6,6.5,5623,14600000,20-Jan-17,10,0,9-Jan-17,c,3
1105000000,N,7,6,6.5,5624,15100000,20-Jan-17,10,0,9-Jan-17,c,3
1063500000,N,7,6,6.5,5625,11700000,20-Jan-17,10,0,9-Jan-17,c,3
229000,Y,7,6,6.5,10403S,6630000,20-Jan-17,10,0,9-Jan-17,d,3
17300000,Y,7,6,6.5,5621,13000000,20-Jan-17,10,0,9-Jan-17,d,3
2180000,Y,7,6,6.5,5623,14600000,20-Jan-17,10,0,9-Jan-17,d,3
724500,Y,7,6,6.5,5624,15100000,20-Jan-17,10,0,9-Jan-17,d,3
431000000,Y,7,6,6.5,5625,11700000,20-Jan-17,10,0,9-Jan-17,d,3
996000000,N,14,6,6.5,10403S,6630000,20-Jan-17,10,0,9-Jan-17,e,3
1550000000,N,14,6,6.5,5621,13000000,20-Jan-17,10,0,9-Jan-17,e,3
1805000000,N,14,6,6.5,5623,14600000,20-Jan-17,10,0,9-Jan-17,e,3
1765000000,N,14,6,6.5,5624,15100000,20-Jan-17,10,0,9-Jan-17,e,3
2025000000,N,14,6,6.5,5625,11700000,20-Jan-17,10,0,9-Jan-17,e,3
1130000,Y,14,6,6.5,10403S,6630000,20-Jan-17,10,0,9-Jan-17,f,3
13300000,Y,14,6,6.5,5621,13000000,20-Jan-17,10,0,9-Jan-17,f,3
24900000,Y,14,6,6.5,5623,14600000,20-Jan-17,10,0,9-Jan-17,f,3
12050000,Y,14,6,6.5,5624,15100000,20-Jan-17,10,0,9-Jan-17,f,3
485000000,Y,14,6,6.5,5625,11700000,20-Jan-17,10,0,9-Jan-17,f,3
1012500000,N,1,14,6.5,10403S,30700000,18-Dec-16,4,184,3-Dec-16,a,1
979500000,N,1,14,6.5,5621,19500000,18-Dec-16,4,184,3-Dec-16,a,1
953500000,N,1,14,6.5,5623,22500000,18-Dec-16,4,184,3-Dec-16,a,1
1081000000,N,1,14,6.5,5624,36800000,18-Dec-16,4,184,3-Dec-16,a,1
1605000000,N,1,14,6.5,5625,28600000,18-Dec-16,4,184,3-Dec-16,a,1
9405000,Y,1,14,6.5,5621,19500000,18-Dec-16,4,184,3-Dec-16,b,1
2305000,Y,1,14,6.5,5623,22500000,18-Dec-16,4,184,3-Dec-16,b,1
7655000,Y,1,14,6.5,5624,36800000,18-Dec-16,4,184,3-Dec-16,b,1
7710000,Y,1,14,6.5,5625,28600000,18-Dec-16,4,184,3-Dec-16,b,1
1790000000,N,7,14,6.5,10403S,30700000,18-Dec-16,4,184,3-Dec-16,c,1
2090000000,N,7,14,6.5,5621,19500000,18-Dec-16,4,184,3-Dec-16,c,1
2175000000,N,7,14,6.5,5623,22500000,18-Dec-16,4,184,3-Dec-16,c,1
2285000000,N,7,14,6.5,5624,36800000,18-Dec-16,4,184,3-Dec-16,c,1
2140000000,N,7,14,6.5,5625,28600000,18-Dec-16,4,184,3-Dec-16,c,1
45750000,Y,7,14,6.5,10403S,30700000,18-Dec-16,4,184,3-Dec-16,d,1
732000000,Y,7,14,6.5,5621,19500000,18-Dec-16,4,184,3-Dec-16,d,1
1190000000,Y,7,14,6.5,5623,22500000,18-Dec-16,4,184,3-Dec-16,d,1
840000000,Y,7,14,6.5,5624,36800000,18-Dec-16,4,184,3-Dec-16,d,1
939500000,Y,7,14,6.5,5625,28600000,18-Dec-16,4,184,3-Dec-16,d,1
79050000,N,14,14,6.5,10403S,30700000,18-Dec-16,4,184,3-Dec-16,e,1
1724500000,N,14,14,6.5,5621,19500000,18-Dec-16,4,184,3-Dec-16,e,1
502500000,N,14,14,6.5,5623,22500000,18-Dec-16,4,184,3-Dec-16,e,1
1310000000,N,14,14,6.5,5624,36800000,18-Dec-16,4,184,3-Dec-16,e,1
952500000,N,14,14,6.5,5625,28600000,18-Dec-16,4,184,3-Dec-16,e,1
1000000000,Y,14,14,6.5,10403S,30700000,18-Dec-16,4,184,3-Dec-16,f,1
955500000,Y,14,14,6.5,5621,19500000,18-Dec-16,4,184,3-Dec-16,f,1
935000000,Y,14,14,6.5,5623,22500000,18-Dec-16,4,184,3-Dec-16,f,1
981500000,Y,14,14,6.5,5624,36800000,18-Dec-16,4,184,3-Dec-16,f,1
956000000,Y,14,14,6.5,5625,28600000,18-Dec-16,4,184,3-Dec-16,f,1
469000000,N,1,14,6.5,10403S,31800000,13-Jan-17,11,0,3-Jan-17,a,2
1380000000,N,1,14,6.5,5621,30900000,13-Jan-17,11,0,3-Jan-17,a,2
1094500000,N,1,14,6.5,5623,41400000,13-Jan-17,11,0,3-Jan-17,a,2
1710000000,N,1,14,6.5,5624,21700000,13-Jan-17,11,0,3-Jan-17,a,2
998500000,N,1,14,6.5,5625,26600000,13-Jan-17,11,0,3-Jan-17,a,2
586500,Y,1,14,6.5,10403S,31800000,13-Jan-17,11,0,3-Jan-17,b,2
1282500,Y,1,14,6.5,5621,30900000,13-Jan-17,11,0,3-Jan-17,b,2
537000,Y,1,14,6.5,5623,41400000,13-Jan-17,11,0,3-Jan-17,b,2
521500,Y,1,14,6.5,5624,21700000,13-Jan-17,11,0,3-Jan-17,b,2
7950000,Y,1,14,6.5,5625,26600000,13-Jan-17,11,0,3-Jan-17,b,2
907000000,N,7,14,6.5,10403S,31800000,13-Jan-17,11,0,3-Jan-17,c,2
949000000,N,7,14,6.5,5621,30900000,13-Jan-17,11,0,3-Jan-17,c,2
2170000000,N,7,14,6.5,5623,41400000,13-Jan-17,11,0,3-Jan-17,c,2
1905000000,N,7,14,6.5,5624,21700000,13-Jan-17,11,0,3-Jan-17,c,2
1870000000,N,7,14,6.5,5625,26600000,13-Jan-17,11,0,3-Jan-17,c,2
7310000,Y,7,14,6.5,10403S,31800000,13-Jan-17,11,0,3-Jan-17,d,2
363300000,Y,7,14,6.5,5621,30900000,13-Jan-17,11,0,3-Jan-17,d,2
524500000,Y,7,14,6.5,5623,41400000,13-Jan-17,11,0,3-Jan-17,d,2
